Stkcd,Stknme,Ppdadt,Annocont,Exdistdt,Price2,f,mktret_t,ret_t,ret_t30,Listdt,age,Price_ex,abret_t
300045,华力创通,2015/4/21,10转增10股派0.3元(含税),2015/5/26,27.46,1,0.006092,0.059723,-0.545,2010/1/20,5,13.73,0.053631
600519,贵州茅台,2015/4/21,10送1股派43.74元(含税),2015/7/17,228.29,0.1,0.014175,-0.01393,-0.1442,2001/8/27,14,207.5363636,-0.028105
2531,天顺风能,2015/4/22,10转增10股派1元(含税),2015/5/26,16.8,1,0.006092,0.079762,-0.355,2010/12/31,5,8.4,0.07367
2528,英飞拓,2015/4/22,10转增5股派1元(含税),2015/6/19,15.47,0.5,0.020969,-0.027149,-0.2199,2010/12/24,5,10.31333333,-0.048118
2197,证通电子,2015/4/22,10转增6股派0.6元(含税),2015/6/19,40.69,0.6,0.020969,-0.077906,-0.347,2007/12/18,8,25.43125,-0.098875
718,苏宁环球,2015/4/22,10送3股派2元(含税),2015/7/16,10.06,0.3,0.044813,0.090457,-0.3637,1997/4/8,18,7.738461538,0.045644
2390,信邦制药,2015/4/22,10转增15股派0.6元(含税),2015/5/25,24.35,1.5,0.026126,0.019713,-0.5562,2010/4/16,5,9.74,-0.006413
2520,日发精机,2015/4/22,10转增5股派1元(含税),2015/5/21,30.99,0.5,0.022787,0.004518,-0.061,2010/12/10,5,20.66,-0.018269
600572,康恩贝,2015/4/23,10转增5送2股派1.7元(含税),2015/7/7,13.51,0.7,-0.067128,0.099926,0.0101,2004/4/12,11,7.947058824,0.167054
600674,川投能源,2015/4/23,10转增10股派3元(含税),2015/6/26,13.21,1,-0.045671,-0.099924,0.0067,1993/9/24,22,6.605,-0.054253
650,仁和药业,2015/4/25,10送2.5股派0.3元(含税),2015/5/26,13.06,0.25,0.006092,-0.009954,-0.2483,1996/12/10,19,10.448,-0.016046
2372,伟星新材,2015/4/25,10转增3股派6元(含税),2015/5/27,20.75,0.3,-0.068521,-0.090602,-0.2024,2010/3/18,5,15.96153846,-0.022081
888,峨眉山A,2015/4/25,10转增10股派1.8元(含税),2015/5/29,15.8,1,0.053785,0.036076,-0.2663,1997/10/21,18,7.9,-0.017709
600887,伊利股份,2015/4/25,10转增10股派8元(含税),2015/5/28,21.11,1,0.003664,-0.045476,-0.0114,1996/3/12,19,10.555,-0.04914
600993,马应龙,2015/4/25,10送3股派0.4元(含税),2015/7/21,26.69,0.3,0.0051,-0.025478,-0.3276,2004/5/17,11,20.53076923,-0.030578
300002,神州泰岳,2015/4/25,10转增5.020004股派1.204801元(含税),2015/6/8,23.6,0.502,-0.004086,0.005508,-0.4598,2009/10/30,6,15.71238349,0.009594
300151,昌红科技,2015/4/25,10转增15股派0.5元(含税),2015/5/28,30.19,1.5,0.003664,-0.075853,-0.5835,2010/12/22,5,12.076,-0.079517
541,佛山照明,2015/4/27,10转增3股派2.2元(含税),2015/6/12,19.46,0.3,-0.021363,-0.05704,-0.436,1993/11/23,22,14.96923077,-0.035677
2386,天原集团,2015/4/27,10股转增4股,2015/6/8,11.15,0.4,-0.004086,0.076233,-0.3758,2010/4/9,5,7.964285714,0.080319
200541,粤照明B,2015/4/27,10转增3股派2.787986港元(含税),2015/6/12,10.3,0.3,-0.021363,-0.028155,-0.3986,1995/8/8,20,7.923076923,-0.006792
2311,海大集团,2015/4/28,10转增4股派1.5元(含税),2015/6/26,13.74,0.4,-0.045671,-0.086608,0.3052,2009/11/27,6,9.814285714,-0.040937
2038,双鹭药业,2015/4/28,10送5股派3元(含税),2015/7/15,32.49,0.5,0.008952,0.015697,-0.2239,2004/9/9,11,21.66,0.006745
2263,大东南,2015/4/28,10股转增1股,2015/6/1,11.79,0.1,0.026451,0.094148,-0.4845,2008/7/28,7,10.71818182,0.067697
2271,东方雨虹,2015/4/28,10转增10股派2元(含税),2015/6/1,30.85,1,0.026451,0.070665,-0.2749,2008/9/10,7,15.425,0.044214
2446,盛路通信,2015/4/28,10转增12股派0.1元(含税),2015/6/10,38.9,1.2,0.007518,0.023393,-0.1203,2010/7/13,5,17.68181818,0.015875
415,渤海租赁,2015/4/29,10转增10股派1元(含税),2015/6/3,13.62,1,0.005007,-0.024963,-0.3005,1996/7/16,19,6.81,-0.02997
2142,宁波银行,2015/4/28,10转增2股派4.5元(含税),2015/7/15,15.78,0.2,0.008952,-0.024715,-0.3372,2007/7/19,8,13.15,-0.033667
601890,亚星锚链,2015/4/28,10转增10送0.5股派0.5元(含税),2015/6/9,16.96,1.05,0.005704,-0.035377,-0.0196,2010/12/28,5,8.273170732,-0.041081
651,格力电器,2015/4/28,10转增10股派30元(含税),2015/7/3,24.98,1,0.011173,-0.031225,-0.0686,1996/11/18,19,12.49,-0.042398
600239,云南城投,2015/4/28,10送3股派0.6元(含税),2015/6/16,12.15,0.3,0.019594,-0.025514,-0.364,1999/12/2,16,9.346153846,-0.045108
601169,北京银行,2015/4/28,10送2股派2.5元(含税),2015/7/17,10.5,0.2,0.014175,-0.024762,-0.1484,2007/9/19,8,8.75,-0.038937
300102,乾照光电,2015/4/28,10转增10股派0.4元(含税),2015/6/1,14.18,1,0.026451,0.078984,-0.4144,2010/8/12,5,7.09,0.052533
2266,浙富控股,2015/4/29,10转增3股派0.15元(含税),2015/7/3,8.02,0.3,0.011173,-0.09601,0.5228,2008/8/6,7,6.169230769,-0.107183
2095,生意宝,2015/4/29,10转增1送1股派0.5元(含税),2015/6/19,79.3,0.2,0.020969,0.030895,-0.4357,2006/12/15,9,66.08333333,0.009926
937,冀中能源,2015/4/29,10转增3股派1元(含税),2015/6/10,9.47,0.3,0.007518,0.009504,-0.3305,1999/9/9,16,7.284615385,0.001986
2375,亚厦股份,2015/4/29,10转增4.999957股派1.09999元(含税),2015/6/4,31.78,0.499996,0.014775,-0.026746,-0.3838,2010/3/23,5,21.18672316,-0.041521
2251,步步高,2015/4/29,10送1股派2元(含税),2015/6/16,30.47,0.1,0.019594,0.023302,-0.2393,2008/6/19,7,27.7,0.003708
2304,洋河股份,2015/4/29,10转增4股派20元(含税),2015/6/18,70.48,0.4,-0.068544,-0.059166,-0.0493,2009/11/6,6,50.34285714,0.009378
2054,德美化工,2015/4/29,10转增3股派1.2元(含税),2015/6/11,15.77,0.3,0.011318,0.04629,-0.3691,2006/7/25,9,12.13076923,0.034972
2167,东方锆业,2015/4/29,10股转增5股,2015/6/24,15.55,0.5,-0.038473,-0.090032,-0.135,2007/9/13,8,10.36666667,-0.051559
